1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
科目\时间,2021-03-31,2020-12-31,2020-06-30,2020-03-31,2019-12-31,2018-12-31,2017-12-31
净利润(元),30876117.5,108050309.1,50553461.78,18508399.19,109116900.3,80853900.7,51253095.14
扣非净利润(元),29658817.5,96884826.96,45112235.25,18398999.19,110935400.74,85507729.85,60590865.33
营业总收入(元),103993915.03,385011656.29,163133834.79,64815014.14,383586995.89,321846114.39,256165348.36
经营活动产生的现金流量净额(元),16560479.58,148550029.8,42129235.97,13047429.14,127588284.88,86776319.66,81114795.6
购建固定资产、无形资产和其他长期资产支付的现金(元),23028121.25,53649567.51,31003869.31,29701428.86,84435550,47103107.17,74143451.87
处置固定资产、无形资产和其他长期资产收回的现金净额(元),#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
投资活动产生的现金流量净额(元),-38347117.34,-51117365.36,-29643380.49,-28964607.24,-83526790.48,-47011836.23,-76042751.87
筹资活动产生的现金流量净额(元),#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
其中：营业成本(元),55512961.34,205671753.33,85592775.46,33440516.29,206015304.65,180561992.48,147658739.68
销售费用(元),3268139.47,12348481.25,5496255.17,3622086.55,13072890.04,9221188.28,9096429.87
管理费用(元),5502753.66,23544095.3,10821751.71,4707769.6,22342209.6,20846679.53,22396226.81
研发费用(元),#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
财务费用(元),8598.7,10705641.88,-760919.17,-952843.84,-1158583.91,773268.38,3925794.26
三、营业利润(元),36369517.1,115968851.43,54186295.77,21998635.13,126291561.81,94937950.21,60031542.42


科目\时间,2021-03-31,2020-12-31,2020-06-30,2020-03-31,2019-12-31,2018-12-31,2017-12-31
货币资金(元),240116693.35,261535588.01,183369524.62,#REF!,185582749.14,68284909.99,63098002.35
流动资产合计(元),#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
固定资产合计(元),170403042.96,173103716.49,182839477.14,#REF!,159948280.65,158092928.54,146101919.67
非流动资产合计(元),#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
资产合计(元),732154091.15,709230841.96,627358427.6,#REF!,593429641.15,409810499.55,361214855.29
流动负债合计(元),#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
非流动负债合计(元),#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
负债合计(元),52640291.85,60635695.81,35826149.16,#REF!,37709401.83,51897362.7,106955619.14
归属于母公司所有者权益合计(元),#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
所有者权益（或股东权益）合计(元),679513799.3,648595146.15,591532278.44,#REF!,555720239.32,357913136.85,254259236.15
毛利 (营业收入减去营业成本),#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
自由现金流 (Operating Cashflow Method),#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!


重要比率,2021-03-31,2020-12-31,2020-06-30,2020-03-31,2019-12-31,2018-12-31,2017-12-31
P/E,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
基本每股收益(元),0.31,1.09,#REF!,#REF!,#REF!,#REF!,#REF!
流动比率,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
速动比率,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
资产负债比率,7.1897832009,8.5495007017,5.7106348754,#REF!,6.3544857242,12.6637464772,29.6099724509
资产收益率,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
净资产收益率,4.65,18.01,#REF!,#REF!,#REF!,#REF!,#REF!
销售毛利率,46.619029273,46.5803827053,#REF!,#REF!,#REF!,#REF!,#REF!
营业利润率,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
销售净利率,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
现金流量比率,-39.1612157059,-39.5699524577,None,None,830.9707025399,-69.4535871551,None
营业总收入同比增长率,60.4472611938,0.37140477,#REF!,#REF!,#REF!,#REF!,#REF!
净利润同比增长率,66.82,-0.9774757137,#REF!,#REF!,#REF!,#REF!,#REF!
净资产增长率,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
债务股本比,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!


